;0;1
ID;001-Scan-0-Lesion-0-CT;001-Scan-0-Lesion-0-PET
original_shape_Elongation;0.9047366396343043;0.7796974140632063
original_shape_Flatness;0.4124450109975568;0.6883697446073869
original_shape_LeastAxisLength;30.000000000000068;16.603274631212024
original_shape_MajorAxisLength;72.73696905059127;24.119704216055773
original_shape_Maximum2DDiameterColumn;62.24146527838174;27.85677655436824
original_shape_Maximum2DDiameterRow;67.77905281132217;26.68332812825267
original_shape_Maximum2DDiameterSlice;84.29116205154607;22.47220505424423
original_shape_Maximum3DDiameter;87.92041856133307;28.142494558940577
original_shape_MeshVolume;93293.66666666667;5391.208333333333
original_shape_MinorAxisLength;65.80780095601634;18.806071005228098
original_shape_Sphericity;0.7507521070863126;0.9004197743229103
original_shape_SurfaceArea;13250.197129645856;1651.314686762031
original_shape_SurfaceVolumeRatio;0.14202675919029004;0.3062976951849751
original_shape_VoxelVolume;93366.0;5415.0
original_firstorder_10Percentile;950.0;2029.7999999999997
original_firstorder_90Percentile;1091.0;23215.4
original_firstorder_Energy;97702131753.0;1164579108877.0
original_firstorder_Entropy;2.5155054235743806;9.504602495458327
original_firstorder_InterquartileRange;15.0;9381.0
original_firstorder_Kurtosis;27.102990970501132;7.565114170388955
original_firstorder_Maximum;1209.0;58110.0
original_firstorder_MeanAbsoluteDeviation;33.41811938985034;7772.981688190443
original_firstorder_Mean;1021.2346571557098;9846.823822714681
original_firstorder_Median;1024.0;5299.0
original_firstorder_Minimum;102.0;587.0
original_firstorder_Range;1107.0;57523.0
original_firstorder_RobustMeanAbsoluteDeviation;15.856641924786043;4336.976357000785
original_firstorder_RootMeanSquared;1022.9576236049744;14665.108048281632
original_firstorder_Skewness;-3.1048429687955066;2.1548945260257355
original_firstorder_TotalEnergy;97702131753.0;1164579108877.0
original_firstorder_Uniformity;0.3089084346473208;0.0020205492591370542
original_firstorder_Variance;3522.074715596422;118105454.67219333
original_glcm_Autocorrelation;1384.623099588885;303236.78930400126
original_glcm_ClusterProminence;8243.86179938155;3473959557325.3457
original_glcm_ClusterShade;-206.56417809880028;1179037977.5834818
original_glcm_ClusterTendency;20.48345590400318;680232.4314956828
original_glcm_Contrast;3.1946347408641937;31151.16034369673
original_glcm_Correlation;0.7312649846514911;0.9115039824824857
original_glcm_DifferenceAverage;0.7511433251678874;108.76624030403592
original_glcm_DifferenceEntropy;1.6617953179877165;7.991046684523222
original_glcm_DifferenceVariance;2.611067491289199;18914.623975992592
original_glcm_Id;0.7788105992045142;0.04940477854493867
original_glcm_Idm;0.7581586123185338;0.019101282339060624
original_glcm_Idmn;0.9985144820167355;0.9943974058594771
original_glcm_Idn;0.984636030987684;0.9576916111256323
original_glcm_Imc1;-0.3702959440341778;-0.6216055381382495
original_glcm_Imc2;0.9193629701376734;0.9999964270124649
original_glcm_InverseVariance;0.23858761846333335;0.020053806786264283
original_glcm_JointAverage;37.15240055508413;375.40520092187296
original_glcm_JointEnergy;0.21144104744264244;0.00011450668488341198
original_glcm_JointEntropy;4.203380159845318;13.14099192031681
original_glcm_MCC;0.8539036385206921;0.9883918729759916
original_glcm_MaximumProbability;0.449078279412101;0.00040259166000634856
original_glcm_SumAverage;74.30480111016823;750.8104018437451
original_glcm_SumEntropy;3.257816873826497;10.282694516522705
original_glcm_SumSquares;5.919522661216844;177845.8979598451
original_glrlm_GrayLevelNonUniformity;4895.097373744993;10.826965478501338
original_glrlm_GrayLevelNonUniformityNormalized;0.12994154588258705;0.0020106327171906155
original_glrlm_GrayLevelVariance;10.68998162862636;189500.3501439386
original_glrlm_HighGrayLevelRunEmphasis;1370.9205888298961;328370.22467456484
original_glrlm_LongRunEmphasis;22.61450928655393;1.0168633202429354
original_glrlm_LongRunHighGrayLevelEmphasis;31188.895853391008;329445.0167393156
original_glrlm_LongRunLowGrayLevelEmphasis;0.01652361162360972;0.00041684450645683376
original_glrlm_LowGrayLevelRunEmphasis;0.000813849514524773;0.00040974471554961644
original_glrlm_RunEntropy;5.252777796147271;9.536981444966063
original_glrlm_RunLengthNonUniformity;14343.48718840262;5325.201690440807
original_glrlm_RunLengthNonUniformityNormalized;0.3836089869308011;0.9889192757400443
original_glrlm_RunPercentage;0.39931106530296806;0.9944314226862705
original_glrlm_RunVariance;16.02834351657216;0.005625606343784008
original_glrlm_ShortRunEmphasis;0.6432818666953174;0.9958159728949639
original_glrlm_ShortRunHighGrayLevelEmphasis;868.7574834298115;328101.72072785266
original_glrlm_ShortRunLowGrayLevelEmphasis;0.0005566686150139162;0.00040797712688119193
original_glszm_GrayLevelNonUniformity;109.67685393258427;9.565873015873017
original_glszm_GrayLevelNonUniformityNormalized;0.04929296805958844;0.0018979906777525826
original_glszm_GrayLevelVariance;46.122704507006695;195791.89464285717
original_glszm_HighGrayLevelZoneEmphasis;1084.0049438202248;346271.23492063495
original_glszm_LargeAreaEmphasis;1170703.2152808988;1.2613095238095238
original_glszm_LargeAreaHighGrayLevelEmphasis;1615168811.8867416;361468.09404761903
original_glszm_LargeAreaLowGrayLevelEmphasis;849.7691360361549;0.0005272882658799241
original_glszm_LowGrayLevelZoneEmphasis;0.0019198019881775628;0.00041158522302265943
original_glszm_SizeZoneNonUniformity;836.749213483146;4458.339285714285
original_glszm_SizeZoneNonUniformityNormalized;0.3760670622396162;0.8845911281179138
original_glszm_SmallAreaEmphasis;0.6372187300439295;0.9528508597883597
original_glszm_SmallAreaHighGrayLevelEmphasis;666.8590614029339;342643.23991247796
original_glszm_SmallAreaLowGrayLevelEmphasis;0.0014964011259654799;0.00039597379655471047
